ID,Target
steth_20180814_09_37_11_I_004,I
steth_20180814_09_37_33_I_004,I
steth_20180814_09_37_59_E_000,E
steth_20180814_09_37_59_E_008,E
steth_20180814_09_38_51_E_000,E
steth_20180814_09_39_33_E_005,E
steth_20180814_09_56_09_E_002,E
steth_20180814_09_56_09_E_013,E
steth_20180814_09_56_09_I_000,I
steth_20180814_09_56_09_I_005,I
steth_20180814_10_47_31_E_001,E
steth_20180814_10_47_31_I_003,I
steth_20180814_10_47_53_E_002,E
steth_20180814_10_47_53_I_000,I
steth_20180814_10_49_02_I_001,I
steth_20180814_10_49_29_E_007,E
steth_20180814_10_50_10_E_000,E
steth_20180814_10_52_17_E_006,E
steth_20180814_10_52_17_E_010,E
steth_20180814_10_52_17_I_000,I
steth_20180814_10_53_44_I_000,I
steth_20180814_10_56_00_E_002,E
steth_20180814_10_56_19_I_002,I
steth_20180814_10_56_42_E_006,E
steth_20180814_10_56_42_E_014,E
steth_20180814_10_56_42_I_004,I
steth_20180814_10_57_03_I_000,I
steth_20180816_11_09_13_E_007,E
steth_20180816_11_09_13_I_000,I
steth_20180816_11_09_56_E_006,E
steth_20180816_11_10_18_E_002,E
steth_20180816_11_10_18_E_006,E
steth_20180816_11_10_18_E_014,E
steth_20180816_11_10_18_I_000,I
steth_20180816_11_10_18_I_004,I
steth_20180816_11_19_32_E_004,E
steth_20180816_11_19_58_I_000,I
steth_20180816_11_21_17_E_001,E
steth_20180816_11_21_17_I_006,I
steth_20180816_11_21_39_E_001,E
steth_20180816_11_21_39_I_004,I
steth_20180816_11_22_02_E_006,E
steth_20180816_11_22_02_I_003,I
steth_20180816_11_22_22_E_004,E
steth_20180816_11_26_09_I_003,I
steth_20180816_11_26_09_I_005,I
steth_20180816_11_26_51_E_003,E
steth_20180818_08_52_57_I_006,I
steth_20180818_08_53_16_E_004,E
steth_20180818_08_53_36_E_002,E
steth_20180818_08_53_36_E_010,E
steth_20180818_08_53_56_E_002,E
steth_20180818_08_53_56_E_010,E
steth_20180818_08_53_56_I_008,I
steth_20180818_08_55_01_E_007,E
steth_20180818_08_55_26_E_003,E
steth_20180818_08_55_26_I_005,I
steth_20180818_08_58_24_E_004,E
steth_20180818_08_58_43_E_010,E
steth_20180818_08_59_49_E_006,E
steth_20180818_09_00_12_E_002,E
steth_20180818_09_00_12_E_006,E
steth_20180818_09_00_35_E_010,E
steth_20180818_09_00_57_I_006,I
steth_20180818_09_04_00_E_008,E
steth_20180818_09_04_19_E_009,E
steth_20180818_09_04_39_I_001,I
steth_20180818_09_05_24_E_002,E
steth_20180818_09_05_44_E_002,E
steth_20180818_09_05_44_E_010,E
steth_20180818_09_06_46_E_006,E
steth_20180824_13_48_51_E_001,E
steth_20180824_13_49_11_E_002,E
steth_20180824_13_49_11_E_008,E
steth_20180824_13_49_11_I_006,I
steth_20180824_13_49_32_E_001,E
steth_20180824_13_49_32_E_003,E
steth_20180824_13_49_32_E_005,E
steth_20180824_13_49_32_I_004,I
steth_20180824_13_50_12_E_000,E
steth_20180824_13_50_12_E_002,E
steth_20180901_09_53_26_E_008,E
steth_20180901_09_53_48_E_001,E
steth_20180901_09_53_48_I_002,I
steth_20180901_09_54_08_E_002,E
steth_20180901_09_54_49_E_007,E
steth_20180901_09_54_49_E_010,E
steth_20180901_09_54_49_I_000,I
steth_20180901_09_55_09_E_002,E
steth_20180901_10_18_29_I_002,I
steth_20180901_10_19_46_I_002,I
steth_20180901_11_06_46_E_002,E
steth_20180901_11_06_46_I_008,I
steth_20180901_11_07_46_I_000,I
steth_20180901_11_08_43_E_006,E
steth_20180901_11_08_43_E_011,E
steth_20180901_11_08_43_I_004,I
steth_20180901_11_18_21_I_000,I
steth_20180908_16_52_31_E_000,E
steth_20180908_16_52_31_E_003,E
steth_20180908_16_52_31_E_006,E
steth_20180908_16_52_31_E_008,E
steth_20180908_16_53_10_E_001,E
steth_20180908_16_53_10_E_011,E
steth_20180908_16_53_30_I_001,I
steth_20180908_16_53_30_I_003,I
steth_20180908_16_53_49_E_000,E
steth_20180908_16_54_11_E_003,E
steth_20180908_16_54_11_E_008,E
steth_20180908_16_54_51_I_009,I
steth_20180908_16_55_34_E_012,E
steth_20180908_16_55_34_I_011,I
steth_20180908_16_57_36_E_002,E
steth_20180908_16_59_40_I_000,I
steth_20180908_16_59_59_E_003,E
steth_20180908_17_00_19_I_000,I
steth_20180908_17_01_19_E_004,E
steth_20180908_17_03_35_I_008,I
steth_20180908_17_03_55_E_000,E
steth_20180908_17_04_15_I_004,I
steth_20180908_17_04_35_E_002,E
steth_20180908_17_04_35_E_006,E
steth_20180908_17_05_46_I_004,I
steth_20180908_17_06_06_E_002,E
steth_20180908_17_09_01_E_002,E
steth_20180908_17_10_46_E_004,E
steth_20180908_17_12_10_E_007,E
steth_20180908_17_12_30_E_005,E
steth_20180908_17_13_31_E_008,E
steth_20180908_17_14_09_E_001,E
steth_20180908_17_14_09_E_006,E
steth_20180908_17_14_09_I_002,I
steth_20180909_12_43_43_I_002,I
steth_20180909_12_45_27_I_002,I
steth_20180909_12_45_47_E_001,E
steth_20180909_12_45_47_E_014,E
steth_20180909_12_46_08_I_002,I
steth_20180909_12_46_27_I_003,I
steth_20180909_12_46_47_I_000,I
steth_20180909_12_47_06_E_005,E
steth_20180909_12_47_32_E_007,E
steth_20180909_12_47_51_I_004,I
steth_20180909_12_49_34_E_002,E
steth_20180909_12_49_34_E_005,E
steth_20180909_12_49_53_E_005,E
steth_20180909_12_49_53_I_000,I
steth_20180909_12_49_53_I_002,I
steth_20180909_12_50_57_E_002,E
steth_20180909_12_50_57_E_005,E
steth_20180909_12_50_57_I_007,I
steth_20180909_12_51_18_I_000,I
steth_20180909_12_51_37_I_004,I
steth_20180921_10_00_54_E_003,E
steth_20180921_10_00_54_I_002,I
steth_20180921_10_01_45_E_005,E
steth_20180921_10_01_45_E_007,E
steth_20180921_10_01_45_I_000,I
steth_20180921_10_01_45_I_006,I
steth_20180921_10_02_10_E_007,E
steth_20180921_10_02_30_I_009,I
steth_20180921_10_03_12_E_002,E
steth_20180921_10_03_12_I_004,I
steth_20180921_10_03_32_E_008,E
